variable	type	value	KO	ss_status	n_changes
PDC_PDC6	flux	0.0076009654121	YBL016W	5.90223870373e-12	14
PFK	flux	0.198687026111	YBL016W	5.90223870373e-12	14
PGI	flux	0.198687026111	YBL016W	5.90223870373e-12	14
PGK	flux	0.381765229279	YBL016W	5.90223870373e-12	14
PGM	flux	0.00449530355807	YBL016W	5.90223870373e-12	14
PYK_CDC19	flux	0.381765229279	YBL016W	5.90223870373e-12	14
PYK_PYK2	flux	0.0	YBL016W	5.90223870373e-12	14
TDH_TDH1	flux	0.0265081315955	YBL016W	5.90223870373e-12	14
TDH_TDH2	flux	0.0	YBL016W	5.90223870373e-12	14
TDH_TDH3	flux	0.355257097683	YBL016W	5.90223870373e-12	14
TPI	flux	0.183078203167	YBL016W	5.90223870373e-12	14
TPP	flux	0.00449530355807	YBL016W	5.90223870373e-12	14
TPS	flux	0.00449530355807	YBL016W	5.90223870373e-12	14
UGP	flux	0.00449530355807	YBL016W	5.90223870373e-12	14
acetate_branch	flux	0.00780441147219	YBL016W	5.90223870373e-12	14
succinate_branch	flux	0.0	YBL016W	5.90223870373e-12	14
udp_to_utp	flux	0.00449530355807	YBL016W	5.90223870373e-12	14
HXT	flux	0.207677633228	YBL016W	5.90223870373e-12	14
ADP	conc	1.34820243309	YBL016W	5.90223870373e-12	14
ATP	conc	0.182185544352	YBL016W	5.90223870373e-12	14
AcAld	conc	0.907689337999	YBL016W	5.90223870373e-12	14
BPG	conc	6.96917209813e-05	YBL016W	5.90223870373e-12	14
DHAP	conc	0.0626786051098	YBL016W	5.90223870373e-12	14
F16bP	conc	0.0196628652076	YBL016W	5.90223870373e-12	14
F6P	conc	0.0203964889485	YBL016W	5.90223870373e-12	14
G1P	conc	0.0114256327107	YBL016W	5.90223870373e-12	14
G3P	conc	0.0629587843275	YBL016W	5.90223870373e-12	14
G6P	conc	0.0737748586964	YBL016W	5.90223870373e-12	14
GAP	conc	0.00249721705375	YBL016W	5.90223870373e-12	14
GLC	conc	12.1668356032	YBL016W	5.90223870373e-12	14
NAD	conc	1.55105438673	YBL016W	5.90223870373e-12	14
P2G	conc	0.074232252077	YBL016W	5.90223870373e-12	14
P3G	conc	0.392861191324	YBL016W	5.90223870373e-12	14
PEP	conc	0.48694244673	YBL016W	5.90223870373e-12	14
PYR	conc	0.192023300997	YBL016W	5.90223870373e-12	14
T6P	conc	0.000962383754766	YBL016W	5.90223870373e-12	14
UDP	conc	0.331084074612	YBL016W	5.90223870373e-12	14
UTP	conc	0.254666385788	YBL016W	5.90223870373e-12	14
ADH_ADH1	flux	3.13228986436	YBL088C	2.8318577759e-11	11
ADH_ADH5	flux	0.0	YBL088C	2.8318577759e-11	11
AK	flux	-1.33226762955e-15	YBL088C	2.8318577759e-11	11
ATPase	flux	2.95264040495	YBL088C	2.8318577759e-11	11
ENO_ENO1	flux	0.436200971565	YBL088C	2.8318577759e-11	11
ENO_ENO2	flux	2.72330139216	YBL088C	2.8318577759e-11	11
FBA	flux	1.60696368124	YBL088C	2.8318577759e-11	11
GPD	flux	0.0544249987449	YBL088C	2.8318577759e-11	11
GPM	flux	3.15950236373	YBL088C	2.8318577759e-11	11
GPP	flux	0.0544249987449	YBL088C	2.8318577759e-11	11
HXK_GLK1	flux	0.000521121007024	YBL088C	2.8318577759e-11	11
HXK_HXK1	flux	0.0378898147797	YBL088C	2.8318577759e-11	11
HXK_HXK2	flux	1.67017738547	YBL088C	2.8318577759e-11	11
PDC_PDC1	flux	3.08172789481	YBL088C	2.8318577759e-11	11
PDC_PDC5	flux	0.0347337577001	YBL088C	2.8318577759e-11	11
PDC_PDC6	flux	0.0430407112201	YBL088C	2.8318577759e-11	11
PFK	flux	1.60696368124	YBL088C	2.8318577759e-11	11
PGI	flux	1.60696368124	YBL088C	2.8318577759e-11	11
PGK	flux	3.15950236373	YBL088C	2.8318577759e-11	11
PGM	flux	0.0508123200106	YBL088C	2.8318577759e-11	11
PYK_CDC19	flux	3.15950236373	YBL088C	2.8318577759e-11	11
PYK_PYK2	flux	0.0	YBL088C	2.8318577759e-11	11
TDH_TDH1	flux	0.202795258726	YBL088C	2.8318577759e-11	11
TDH_TDH2	flux	0.0	YBL088C	2.8318577759e-11	11
TDH_TDH3	flux	2.956707105	YBL088C	2.8318577759e-11	11
TPI	flux	1.55253868249	YBL088C	2.8318577759e-11	11
TPP	flux	0.0508123200106	YBL088C	2.8318577759e-11	11
TPS	flux	0.0508123200106	YBL088C	2.8318577759e-11	11
UGP	flux	0.0508123200106	YBL088C	2.8318577759e-11	11
acetate_branch	flux	0.0272124993724	YBL088C	2.8318577759e-11	11
succinate_branch	flux	0.0	YBL088C	2.8318577759e-11	11
udp_to_utp	flux	0.0508123200106	YBL088C	2.8318577759e-11	11
HXT	flux	1.70858832126	YBL088C	2.8318577759e-11	11
ADP	conc	2.35476272772	YBL088C	2.8318577759e-11	11
ATP	conc	2.76174870711	YBL088C	2.8318577759e-11	11
AcAld	conc	3.37790330238	YBL088C	2.8318577759e-11	11
BPG	conc	0.00117686362824	YBL088C	2.8318577759e-11	11
DHAP	conc	1.01398174294	YBL088C	2.8318577759e-11	11
F16bP	conc	0.916827136552	YBL088C	2.8318577759e-11	11
F6P	conc	0.302003376517	YBL088C	2.8318577759e-11	11
G1P	conc	0.0939369503077	YBL088C	2.8318577759e-11	11
G3P	conc	0.229805260315	YBL088C	2.8318577759e-11	11
G6P	conc	1.10447363028	YBL088C	2.8318577759e-11	11
GAP	conc	0.042466635618	YBL088C	2.8318577759e-11	11
GLC	conc	0.902390294755	YBL088C	2.8318577759e-11	11
NAD	conc	1.45326669493	YBL088C	2.8318577759e-11	11
P2G	conc	0.217617357198	YBL088C	2.8318577759e-11	11
P3G	conc	1.17303521943	YBL088C	2.8318577759e-11	11
PEP	conc	1.19304731474	YBL088C	2.8318577759e-11	11
PYR	conc	2.65088301221	YBL088C	2.8318577759e-11	11
T6P	conc	0.0110983298693	YBL088C	2.8318577759e-11	11
UDP	conc	0.246875531024	YBL088C	2.8318577759e-11	11
UTP	conc	0.404820513598	YBL088C	2.8318577759e-11	11
ADH_ADH1	flux	4.3789618486	YBR059C	0.000702471955179	13
ADH_ADH5	flux	0.0	YBR059C	0.000702471955179	13
AK	flux	4.48014396415e-10	YBR059C	0.000702471955179	13
ATPase	flux	3.9987537172	YBR059C	0.000702471955179	13
ENO_ENO1	flux	0.681729018999	YBR059C	0.000702471955179	13
ENO_ENO2	flux	3.70871322958	YBR059C	0.000702471955179	13
FBA	flux	2.20670152381	YBR059C	0.000702471955179	13
GPD	flux	0.0229607990563	YBR059C	0.000702471955179	13
GPM	flux	4.39044224861	YBR059C	0.000702471955179	13
GPP	flux	0.0229607990485	YBR059C	0.000702471955179	13
HXK_GLK1	flux	0.00211679426936	YBR059C	0.000702471955179	13
HXK_HXK1	flux	0.133998203416	YBR059C	0.000702471955179	13
HXK_HXK2	flux	2.31640501435	YBR059C	0.000702471955179	13
PDC_PDC1	flux	4.26941074247	YBR059C	0.000702471955179	13
PDC_PDC5	flux	0.0612574900413	YBR059C	0.000702471955179	13
PDC_PDC6	flux	0.0597740161064	YBR059C	0.000702471955179	13
PFK	flux	2.20670152496	YBR059C	0.000702471955179	13
PGI	flux	2.20670152383	YBR059C	0.000702471955179	13
PGK	flux	4.39044223107	YBR059C	0.000702471955179	13
PGM	flux	0.122909244121	YBR059C	0.000702471955179	13
PYK_CDC19	flux	4.39044224444	YBR059C	0.000702471955179	13
PYK_PYK2	flux	0.0	YBR059C	0.000702471955179	13
TDH_TDH1	flux	0.243572655129	YBR059C	0.000702471955179	13
TDH_TDH2	flux	0.0	YBR059C	0.000702471955179	13
TDH_TDH3	flux	4.14686962424	YBR059C	0.000702471955179	13
TPI	flux	2.18374072478	YBR059C	0.000702471955179	13
TPP	flux	0.122909244121	YBR059C	0.000702471955179	13
TPS	flux	0.122909244121	YBR059C	0.000702471955179	13
UGP	flux	0.122909244119	YBR059C	0.000702471955179	13
acetate_branch	flux	0.0114803995244	YBR059C	0.000702471955179	13
succinate_branch	flux	0.0	YBR059C	0.000702471955179	13
udp_to_utp	flux	0.122909244119	YBR059C	0.000702471955179	13
HXT	flux	2.45252001208	YBR059C	0.000702471955179	13
ADP	conc	0.452759000081	YBR059C	0.000702471955179	13
ATP	conc	5.55062199392	YBR059C	0.000702471955179	13
AcAld	conc	1.66662085149	YBR059C	0.000702471955179	13
BPG	conc	0.00725546284124	YBR059C	0.000702471955179	13
DHAP	conc	10.256479944	YBR059C	0.000702471955179	13
F16bP	conc	91.8198510486	YBR059C	0.000702471955179	13
F6P	conc	4.21299739717	YBR059C	0.000702471955179	13
G1P	conc	0.0671655645333	YBR059C	0.000702471955179	13
G3P	conc	0.0934046514356	YBR059C	0.000702471955179	13
G6P	conc	16.0295784213	YBR059C	0.000702471955179	13
GAP	conc	0.451328890629	YBR059C	0.000702471955179	13
GLC	conc	0.339167352279	YBR059C	0.000702471955179	13
NAD	conc	1.24263703431	YBR059C	0.000702471955179	13
P2G	conc	0.0907373674636	YBR059C	0.000702471955179	13
P3G	conc	0.496916933156	YBR059C	0.000702471955179	13
PEP	conc	0.48292113198	YBR059C	0.000702471955179	13
PYR	conc	6.54710600538	YBR059C	0.000702471955179	13
T6P	conc	0.0277185865746	YBR059C	0.000702471955179	13
UDP	conc	0.297122867359	YBR059C	0.000702471955179	13
UTP	conc	0.706264615638	YBR059C	0.000702471955179	13
ADH_ADH1	flux	1.58729605467	YBR097W	1.10850562828e-12	7
ADH_ADH5	flux	0.0	YBR097W	1.10850562828e-12	7
AK	flux	-6.66133814775e-16	YBR097W	1.10850562828e-12	7
ATPase	flux	1.53410304492	YBR097W	1.10850562828e-12	7
ENO_ENO1	flux	0.249366377705	YBR097W	1.10850562828e-12	7
ENO_ENO2	flux	1.35831962844	YBR097W	1.10850562828e-12	7
FBA	flux	0.824232954555	YBR097W	1.10850562828e-12	7
GPD	flux	0.0407799029624	YBR097W	1.10850562828e-12	7
GPM	flux	1.60768600615	YBR097W	1.10850562828e-12	7
GPP	flux	0.0407799029624	YBR097W	1.10850562828e-12	7
HXK_GLK1	flux	0.000427560332621	YBR097W	1.10850562828e-12	7
HXK_HXK1	flux	0.0216733748544	YBR097W	1.10850562828e-12	7
HXK_HXK2	flux	0.824000724877	YBR097W	1.10850562828e-12	7
PDC_PDC1	flux	1.57229377085	YBR097W	1.10850562828e-12	7
PDC_PDC5	flux	0.0181251461578	YBR097W	1.10850562828e-12	7
PDC_PDC6	flux	0.0172670891346	YBR097W	1.10850562828e-12	7
PFK	flux	0.824232954555	YBR097W	1.10850562828e-12	7
PGI	flux	0.824232954555	YBR097W	1.10850562828e-12	7
PGK	flux	1.60768600615	YBR097W	1.10850562828e-12	7
PGM	flux	0.0109343527549	YBR097W	1.10850562828e-12	7
PYK_CDC19	flux	1.60768600615	YBR097W	1.10850562828e-12	7
PYK_PYK2	flux	0.0	YBR097W	1.10850562828e-12	7
TDH_TDH1	flux	0.106917115667	YBR097W	1.10850562828e-12	7
TDH_TDH2	flux	0.0	YBR097W	1.10850562828e-12	7
TDH_TDH3	flux	1.50076889048	YBR097W	1.10850562828e-12	7
TPI	flux	0.783453051592	YBR097W	1.10850562828e-12	7
TPP	flux	0.0109343527549	YBR097W	1.10850562828e-12	7
TPS	flux	0.0109343527549	YBR097W	1.10850562828e-12	7
UGP	flux	0.0109343527549	YBR097W	1.10850562828e-12	7
acetate_branch	flux	0.0203899514812	YBR097W	1.10850562828e-12	7
succinate_branch	flux	0.0	YBR097W	1.10850562828e-12	7
udp_to_utp	flux	0.0109343527549	YBR097W	1.10850562828e-12	7
HXT	flux	0.846101660064	YBR097W	1.10850562828e-12	7
ADP	conc	2.40624296962	YBR097W	1.10850562828e-12	7
ATP	conc	0.994900919638	YBR097W	1.10850562828e-12	7
AcAld	conc	2.41144470804	YBR097W	1.10850562828e-12	7
BPG	conc	0.000600761313989	YBR097W	1.10850562828e-12	7
DHAP	conc	0.352910583677	YBR097W	1.10850562828e-12	7
F16bP	conc	0.180006069165	YBR097W	1.10850562828e-12	7
F6P	conc	0.045418877338	YBR097W	1.10850562828e-12	7
G1P	conc	0.0249012677619	YBR097W	1.10850562828e-12	7
G3P	conc	0.16940131655	YBR097W	1.10850562828e-12	7
G6P	conc	0.173133676266	YBR097W	1.10850562828e-12	7
GAP	conc	0.0144326750942	YBR097W	1.10850562828e-12	7
GLC	conc	2.73359915057	YBR097W	1.10850562828e-12	7
NAD	conc	1.52532709797	YBR097W	1.10850562828e-12	7
P2G	conc	0.199450883199	YBR097W	1.10850562828e-12	7
P3G	conc	1.06865117794	YBR097W	1.10850562828e-12	7
PEP	conc	1.13623477285	YBR097W	1.10850562828e-12	7
PYR	conc	1.17325785826	YBR097W	1.10850562828e-12	7
T6P	conc	0.00234736894767	YBR097W	1.10850562828e-12	7
UDP	conc	0.147470933799	YBR097W	1.10850562828e-12	7
UTP	conc	0.334100378452	YBR097W	1.10850562828e-12	7
ADH_ADH1	flux	2.48108453788	YCL024W	9.50098985308e-12	9
ADH_ADH5	flux	0.0	YCL024W	9.50098985308e-12	9
AK	flux	1.33226762955e-15	YCL024W	9.50098985308e-12	9
ATPase	flux	2.28524599754	YCL024W	9.50098985308e-12	9
ENO_ENO1	flux	0.34933169278	YCL024W	9.50098985308e-12	9
ENO_ENO2	flux	2.15794572262	YCL024W	9.50098985308e-12	9
FBA	flux	1.27983158521	YCL024W	9.50098985308e-12	9
GPD	flux	0.0523857550238	YCL024W	9.50098985308e-12	9
GPM	flux	2.5072774154	YCL024W	9.50098985308e-12	9
GPP	flux	0.0523857550238	YCL024W	9.50098985308e-12	9
HXK_GLK1	flux	0.000288351317746	YCL024W	9.50098985308e-12	9
HXK_HXK1	flux	0.0235454687286	YCL024W	9.50098985308e-12	9
HXK_HXK2	flux	1.36909487372	YCL024W	9.50098985308e-12	9
PDC_PDC1	flux	2.45496452907	YCL024W	9.50098985308e-12	9
PDC_PDC5	flux	0.0279280872534	YCL024W	9.50098985308e-12	9
PDC_PDC6	flux	0.0243847990677	YCL024W	9.50098985308e-12	9
PFK	flux	1.27983158521	YCL024W	9.50098985308e-12	9
PGI	flux	1.27983158521	YCL024W	9.50098985308e-12	9
PGK	flux	2.5072774154	YCL024W	9.50098985308e-12	9
PGM	flux	0.0565485542764	YCL024W	9.50098985308e-12	9
PYK_CDC19	flux	2.5072774154	YCL024W	9.50098985308e-12	9
PYK_PYK2	flux	0.0	YCL024W	9.50098985308e-12	9
TDH_TDH1	flux	0.162859044012	YCL024W	9.50098985308e-12	9
TDH_TDH2	flux	0.0	YCL024W	9.50098985308e-12	9
TDH_TDH3	flux	2.34441837138	YCL024W	9.50098985308e-12	9
TPI	flux	1.22744583019	YCL024W	9.50098985308e-12	9
TPP	flux	0.0565485542764	YCL024W	9.50098985308e-12	9
TPS	flux	0.0565485542764	YCL024W	9.50098985308e-12	9
UGP	flux	0.0565485542764	YCL024W	9.50098985308e-12	9
acetate_branch	flux	0.0261928775119	YCL024W	9.50098985308e-12	9
succinate_branch	flux	0.0	YCL024W	9.50098985308e-12	9
udp_to_utp	flux	0.0565485542764	YCL024W	9.50098985308e-12	9
HXT	flux	1.39292869376	YCL024W	9.50098985308e-12	9
ADP	conc	2.57035625394	YCL024W	9.50098985308e-12	9
ATP	conc	1.76933503089	YCL024W	9.50098985308e-12	9
AcAld	conc	3.17091069858	YCL024W	9.50098985308e-12	9
BPG	conc	0.000949033562971	YCL024W	9.50098985308e-12	9
DHAP	conc	0.675505153578	YCL024W	9.50098985308e-12	9
F16bP	conc	0.443707032402	YCL024W	9.50098985308e-12	9
F6P	conc	0.396572127717	YCL024W	9.50098985308e-12	9
G1P	conc	0.111961046972	YCL024W	9.50098985308e-12	9
G3P	conc	0.220651876688	YCL024W	9.50098985308e-12	9
G6P	conc	1.43946210627	YCL024W	9.50098985308e-12	9
GAP	conc	0.0280158514708	YCL024W	9.50098985308e-12	9
GLC	conc	1.3175763602	YCL024W	9.50098985308e-12	9
NAD	conc	1.49012706399	YCL024W	9.50098985308e-12	9
P2G	conc	0.298381093545	YCL024W	9.50098985308e-12	9
P3G	conc	1.59662065092	YCL024W	9.50098985308e-12	9
PEP	conc	1.71908883804	YCL024W	9.50098985308e-12	9
PYR	conc	1.98579040069	YCL024W	9.50098985308e-12	9
T6P	conc	0.0123822545871	YCL024W	9.50098985308e-12	9
UDP	conc	0.428849207636	YCL024W	9.50098985308e-12	9
UTP	conc	0.33519142202	YCL024W	9.50098985308e-12	9
ADH_ADH1	flux	2.87380225884	YCR073C	1.02033452191e-10	9
ADH_ADH5	flux	0.0	YCR073C	1.02033452191e-10	9
AK	flux	1.33226762955e-15	YCR073C	1.02033452191e-10	9
ATPase	flux	2.68437171527	YCR073C	1.02033452191e-10	9
ENO_ENO1	flux	0.503183399284	YCR073C	1.02033452191e-10	9
ENO_ENO2	flux	2.39827310615	YCR073C	1.02033452191e-10	9
FBA	flux	1.4783824993	YCR073C	1.02033452191e-10	9
GPD	flux	0.055308493177	YCR073C	1.02033452191e-10	9
GPM	flux	2.90145650543	YCR073C	1.02033452191e-10	9
GPP	flux	0.055308493177	YCR073C	1.02033452191e-10	9
HXK_GLK1	flux	0.000260878701261	YCR073C	1.02033452191e-10	9
HXK_HXK1	flux	0.043927975217	YCR073C	1.02033452191e-10	9
HXK_HXK2	flux	1.54204451004	YCR073C	1.02033452191e-10	9
PDC_PDC1	flux	2.83220835347	YCR073C	1.02033452191e-10	9
PDC_PDC5	flux	0.0320395154427	YCR073C	1.02033452191e-10	9
PDC_PDC6	flux	0.0372086365151	YCR073C	1.02033452191e-10	9
PFK	flux	1.4783824993	YCR073C	1.02033452191e-10	9
PGI	flux	1.4783824993	YCR073C	1.02033452191e-10	9
PGK	flux	2.90145650543	YCR073C	1.02033452191e-10	9
PGM	flux	0.0539254323267	YCR073C	1.02033452191e-10	9
PYK_CDC19	flux	2.90145650543	YCR073C	1.02033452191e-10	9
PYK_PYK2	flux	0.0	YCR073C	1.02033452191e-10	9
TDH_TDH1	flux	0.184046573632	YCR073C	1.02033452191e-10	9
TDH_TDH2	flux	0.0	YCR073C	1.02033452191e-10	9
TDH_TDH3	flux	2.7174099318	YCR073C	1.02033452191e-10	9
TPI	flux	1.42307400613	YCR073C	1.02033452191e-10	9
TPP	flux	0.0539254323267	YCR073C	1.02033452191e-10	9
TPS	flux	0.0539254323267	YCR073C	1.02033452191e-10	9
UGP	flux	0.0539254323267	YCR073C	1.02033452191e-10	9
acetate_branch	flux	0.0276542465885	YCR073C	1.02033452191e-10	9
succinate_branch	flux	0.0	YCR073C	1.02033452191e-10	9
udp_to_utp	flux	0.0539254323267	YCR073C	1.02033452191e-10	9
HXT	flux	1.58623336396	YCR073C	1.02033452191e-10	9
ADP	conc	2.49448442933	YCR073C	1.02033452191e-10	9
ATP	conc	2.31702428629	YCR073C	1.02033452191e-10	9
AcAld	conc	3.39373776059	YCR073C	1.02033452191e-10	9
BPG	conc	0.00131152203258	YCR073C	1.02033452191e-10	9
DHAP	conc	0.943544871845	YCR073C	1.02033452191e-10	9
F16bP	conc	0.985304329062	YCR073C	1.02033452191e-10	9
F6P	conc	0.342947506029	YCR073C	1.02033452191e-10	9
G1P	conc	0.101008294193	YCR073C	1.02033452191e-10	9
G3P	conc	0.233784926166	YCR073C	1.02033452191e-10	9
G6P	conc	1.24657761648	YCR073C	1.02033452191e-10	9
GAP	conc	0.039589212733	YCR073C	1.02033452191e-10	9
GLC	conc	1.04424288545	YCR073C	1.02033452191e-10	9
NAD	conc	1.46996722689	YCR073C	1.02033452191e-10	9
P2G	conc	0.20962571153	YCR073C	1.02033452191e-10	9
P3G	conc	1.1282000755	YCR073C	1.02033452191e-10	9
PEP	conc	1.1758667288	YCR073C	1.02033452191e-10	9
PYR	conc	2.37624484875	YCR073C	1.02033452191e-10	9
T6P	conc	0.0117943292597	YCR073C	1.02033452191e-10	9
UDP	conc	0.312288672507	YCR073C	1.02033452191e-10	9
UTP	conc	0.382848079435	YCR073C	1.02033452191e-10	9
ADH_ADH1	flux	2.84725786918	YDR122W	4.27657655328e-10	9
ADH_ADH5	flux	0.0	YDR122W	4.27657655328e-10	9
AK	flux	6.66133814775e-16	YDR122W	4.27657655328e-10	9
ATPase	flux	2.668183109	YDR122W	4.27657655328e-10	9
ENO_ENO1	flux	0.410728235539	YDR122W	4.27657655328e-10	9
ENO_ENO2	flux	2.46343426953	YDR122W	4.27657655328e-10	9
FBA	flux	1.46398588842	YDR122W	4.27657655328e-10	9
GPD	flux	0.0538092717704	YDR122W	4.27657655328e-10	9
GPM	flux	2.87416250507	YDR122W	4.27657655328e-10	9
GPP	flux	0.0538092717704	YDR122W	4.27657655328e-10	9
HXK_GLK1	flux	0.000362777665381	YDR122W	4.27657655328e-10	9
HXK_HXK1	flux	0.0200970418921	YDR122W	4.27657655328e-10	9
HXK_HXK2	flux	1.5449728184	YDR122W	4.27657655328e-10	9
PDC_PDC1	flux	2.81539047574	YDR122W	4.27657655328e-10	9
PDC_PDC5	flux	0.0318572036321	YDR122W	4.27657655328e-10	9
PDC_PDC6	flux	0.0269148256914	YDR122W	4.27657655328e-10	9
PFK	flux	1.46398588842	YDR122W	4.27657655328e-10	9
PGI	flux	1.46398588842	YDR122W	4.27657655328e-10	9
PGK	flux	2.87416250507	YDR122W	4.27657655328e-10	9
PGM	flux	0.0507233747672	YDR122W	4.27657655328e-10	9
PYK_CDC19	flux	2.87416250507	YDR122W	4.27657655328e-10	9
PYK_PYK2	flux	0.0	YDR122W	4.27657655328e-10	9
TDH_TDH1	flux	0.185391128274	YDR122W	4.27657655328e-10	9
TDH_TDH2	flux	0.0	YDR122W	4.27657655328e-10	9
TDH_TDH3	flux	2.68877137679	YDR122W	4.27657655328e-10	9
TPI	flux	1.41017661665	YDR122W	4.27657655328e-10	9
TPP	flux	0.0507233747672	YDR122W	4.27657655328e-10	9
TPS	flux	0.0507233747672	YDR122W	4.27657655328e-10	9
UGP	flux	0.0507233747672	YDR122W	4.27657655328e-10	9
acetate_branch	flux	0.0269046358852	YDR122W	4.27657655328e-10	9
succinate_branch	flux	0.0	YDR122W	4.27657655328e-10	9
udp_to_utp	flux	0.0507233747672	YDR122W	4.27657655328e-10	9
HXT	flux	1.56543263795	YDR122W	4.27657655328e-10	9
ADP	conc	2.50036944236	YDR122W	4.27657655328e-10	9
ATP	conc	2.29237373461	YDR122W	4.27657655328e-10	9
AcAld	conc	3.30037067416	YDR122W	4.27657655328e-10	9
BPG	conc	0.00107582433024	YDR122W	4.27657655328e-10	9
DHAP	conc	0.851228851484	YDR122W	4.27657655328e-10	9
F16bP	conc	0.720731453618	YDR122W	4.27657655328e-10	9
F6P	conc	0.307938296214	YDR122W	4.27657655328e-10	9
G1P	conc	0.0964085134071	YDR122W	4.27657655328e-10	9
G3P	conc	0.227036755078	YDR122W	4.27657655328e-10	9
G6P	conc	1.13105260141	YDR122W	4.27657655328e-10	9
GAP	conc	0.0354981893309	YDR122W	4.27657655328e-10	9
GLC	conc	1.07050304056	YDR122W	4.27657655328e-10	9
NAD	conc	1.47057947844	YDR122W	4.27657655328e-10	9
P2G	conc	0.225963389038	YDR122W	4.27657655328e-10	9
P3G	conc	1.21494423877	YDR122W	4.27657655328e-10	9
PEP	conc	1.26448918	YDR122W	4.27657655328e-10	9
